dataname	setting	intra	inter	silhouette
d5	alpha_10__k_100	0.6832607775053464	0.9368219428376696	0.15078124707024465
d5	alpha_3__k_20	0.7610499112001162	0.9266320528542785	0.10197194935279731
d5	alpha_3__k_50	0.7178142952127121	0.9313519465938541	0.12974266645483093
d5	alpha_10__k_10	0.7880682098406734	0.9230789970189573	0.08468224890297443
d5	kmeanspp_10__k_50	0.724192739117763	0.9289808342328204	0.1198181986473261
d5	alpha_5__k_50	0.719630086927152	0.9313122912319509	0.12524023021481479
d5	alpha_10__k_50	0.7196729764574505	0.9315617244211177	0.12782922488015588
d5	alpha_3__k_100	0.6831173492085755	0.9379273508075666	0.1435521505949358
d5	alpha_1.5__k_20	0.7609669302749892	0.9262196652607185	0.1004536135135269
d5	alpha_10__k_20	0.7587693449865269	0.9279946508314596	0.1048269276716689
d5	alpha_5__k_20	0.7629220602908805	0.9254528556082613	0.10160164991936348
d5	kmeanspp_10__k_10	0.7862789006915756	0.9233556986301122	0.08969581823715858
d5	kmeanspp_10__k_100	0.6824368375737352	0.9374952205979339	0.1516011172664978
d5	kmeanspp_10__k_20	0.7636677657915306	0.9242590748727159	0.09491279360941662
d5	alpha_3__k_10	0.7881116906002145	0.9315717351734008	0.09523301318341525
d6	alpha_1.5__k_50	0.5296980335587431	0.7984074412818629	0.0903323904809403
d6	alpha_5__k_100	0.5125409786390145	0.8074889093748608	0.08057943023977356
d6	alpha_1.5__k_10	0.576742547089691	0.7860443467719783	0.1221815367824278
d6	alpha_5__k_10	0.5765285812029811	0.7895682316825128	0.1628699292732459
d6	alpha_1.5__k_100	0.5125658599933145	0.8049861044964562	0.0792553465409478
d6	alpha_10__k_100	0.5116368060470907	0.8068343676170642	0.07589072312922632
d6	alpha_3__k_20	0.5599514737496867	0.7924830065435354	0.14776948079458407
d6	alpha_3__k_50	0.5298986070942376	0.8010515195982559	0.08434475176472407
d6	alpha_10__k_10	0.5762188399013068	0.7903245149474666	0.11978148113720644
d6	kmeanspp_10__k_50	0.5310811931340247	0.803457785397356	0.08916959822263813
d6	alpha_5__k_50	0.5324405883122549	0.8003195873041329	0.08705268054970046
d6	alpha_10__k_50	0.5294564018286841	0.7994509783718987	0.10671117714145346
d6	alpha_3__k_100	0.5117776939633624	0.8089521990585149	0.0781752930559118
d6	alpha_1.5__k_20	0.5557283808258446	0.7931928044180089	0.11153339932954222
d6	alpha_10__k_20	0.5558581930988888	0.7881486195377316	0.11680679759081027
d6	alpha_5__k_20	0.5576216513282171	0.7931879810230061	0.10740947664504732
d6	kmeanspp_10__k_10	0.5756327095182756	0.7919625579585062	0.12288217963795131
d6	kmeanspp_10__k_100	0.5116638858972368	0.8073044381594617	0.07534683725739816
d6	kmeanspp_10__k_20	0.5549899777750192	0.7950785747763152	0.10180930837622167
d6	alpha_3__k_10	0.5792435425488032	0.7799370306513426	0.1577577874401533
d7	alpha_1.5__k_50	0.48040454703864793	0.6210366053930418	0.04083330427234451
d7	alpha_5__k_100	0.47312322496771186	0.619978304833109	0.026309534859638363
d7	alpha_1.5__k_10	0.502732925038542	0.6472667151350887	0.07257539257373971
d7	alpha_5__k_10	0.5003478635483375	0.6489334945544851	0.06940009932860196
d7	alpha_1.5__k_100	0.47502058669963176	0.6156856177762283	0.028714906462688043
d7	alpha_10__k_100	0.473486006088985	0.6154649171547205	0.02489894481676303
d7	alpha_3__k_20	0.4873114749177878	0.6300631210744665	0.060151273386492635
d7	alpha_3__k_50	0.4782269813979399	0.6238386473773744	0.044779927208317805
d7	alpha_10__k_10	0.5003299474717912	0.6615879032421148	0.07342563532299443
d7	kmeanspp_10__k_50	0.479794089187399	0.6232148091522083	0.04443471133294992
d7	alpha_5__k_50	0.4811859762878144	0.6161697192600404	0.03953338205035054
d7	alpha_10__k_50	0.4792499284478671	0.6243300320939678	0.039063918420522356
d7	alpha_3__k_100	0.469946472166412	0.6192084295487935	0.02308779524295238
d7	alpha_1.5__k_20	0.4910772590301959	0.6280866220749245	0.06066378663306458
d7	alpha_10__k_20	0.4896494484183272	0.6463982271684459	0.06168647272908865
d7	alpha_5__k_20	0.48651646565753665	0.6314699701885852	0.06153625020373249
d7	kmeanspp_10__k_10	0.49561572593281344	0.6548676063805104	0.07449428832018423
d7	kmeanspp_10__k_100	0.4744569480618957	0.6148910265852608	0.028824168073908668
d7	kmeanspp_10__k_20	0.4904675137195651	0.6464863210298906	0.0531553889839482
d7	alpha_3__k_10	0.499710213992333	0.6123929198848554	0.06949313083342039
